Customer_ID,Visit_Date,Park_Location,Customer_Type,Group_Size,Ticket_Type,Booking_Channel,Campaign_Source,Discount_Percent,Season,Is_Weekend,Ticket_Revenue_INR,FnB_Spend_INR,Merchandise_Spend_INR,Total_Revenue_INR,Repeat_Visitor,Satisfaction_Score,At_Risk_Customer
WON101515,2025-07-01,Kochi,Family,4,Regular,Website,Search/SEM,10,Monsoon,No,3456.0,669.0,1143.97,5268.97,No,3.0,No
WON102611,2025-07-01,Hyderabad,Friends Group,5,Regular,Mobile App,Email Campaign,0,Monsoon,No,4800.0,1561.31,1858.38,8219.69,No,3.3,No
WON102294,2025-07-01,Hyderabad,Friends Group,8,Regular,Travel Agent/OTA,None (Organic),0,Monsoon,No,7680.0,2957.37,1380.79,12018.16,No,3.8,No
WON101921,2025-07-01,Bangalore,Corporate Group,47,Season Pass,Walk-in,Search/SEM,10,Monsoon,No,152280.0,17547.59,10710.98,180538.57,Yes,3.5,No
WON101901,2025-07-01,Bangalore,Family,4,Regular,Walk-in,None (Organic),0,Monsoon,No,3840.0,1632.08,994.49,6466.57,No,3.8,No
WON102902,2025-07-01,Bangalore,Friends Group,5,Combo (Park+Resort),Walk-in,Search/SEM,20,Monsoon,No,12160.0,1238.95,1651.48,15050.43,No,3.0,No
WON102327,2025-07-01,Kochi,Family,5,Regular,Website,Offline/Hoarding,0,Monsoon,No,4800.0,1824.05,866.79,7490.84,No,3.2,No
WON100072,2025-07-01,Kochi,Couple,2,Season Pass,Corporate Tie-up,Social Media Ad,15,Monsoon,No,6120.0,806.44,69.63,6996.07,Yes,3.8,No
WON102911,2025-07-01,Bangalore,Solo,1,Regular,Website,Offline/Hoarding,10,Monsoon,No,864.0,438.12,286.02,1588.14,No,3.1,No
WON101426,2025-07-01,Bangalore,Couple,2,Regular,Website,Email Campaign,0,Monsoon,No,1920.0,516.23,302.6,2738.83,No,3.6,No
WON100208,2025-07-01,Kochi,Corporate Group,59,Regular,Walk-in,Email Campaign,0,Monsoon,No,56640.0,25294.28,12922.57,94856.85,No,2.9,Yes
WON102604,2025-07-01,Bangalore,Couple,2,Fast Track,Website,None (Organic),0,Monsoon,No,3520.0,210.78,391.94,4122.72,Yes,2.7,No
WON102761,2025-07-01,Kochi,Family,6,Regular,Travel Agent/OTA,Referral,0,Monsoon,No,5760.0,2728.58,769.77,9258.35,No,3.1,No
WON101483,2025-07-01,Bangalore,Family,3,Regular,Mobile App,Email Campaign,15,Monsoon,No,2448.0,1551.64,399.85,4399.49,Yes,3.1,No
WON100821,2025-07-01,Bangalore,Corporate Group,43,Regular,Walk-in,Search/SEM,0,Monsoon,No,41280.0,15129.45,9119.06,65528.51,No,2.3,Yes
WON101168,2025-07-01,Bangalore,Corporate Group,58,Season Pass,Website,Offline/Hoarding,20,Monsoon,No,167040.0,23573.6,0.0,190613.6,Yes,4.2,No
WON100128,2025-07-01,Bangalore,Friends Group,6,Regular,Mobile App,None (Organic),0,Monsoon,No,5760.0,3433.35,731.36,9924.71,No,2.9,Yes
WON102632,2025-07-01,Hyderabad,Family,6,Season Pass,Website,None (Organic),0,Monsoon,No,21600.0,1966.71,841.76,24408.47,Yes,3.2,No
WON102295,2025-07-01,Kochi,Family,5,Fast Track,Website,None (Organic),0,Monsoon,No,8800.0,1941.26,723.59,11464.85,No,2.9,Yes
WON102714,2025-07-01,Bangalore,School/College Group,66,Regular,Walk-in,Referral,15,Monsoon,No,53856.0,12920.54,19186.58,85963.12,Yes,2.8,No
WON100205,2025-07-02,Bangalore,School/College Group,33,Regular,Website,Search/SEM,20,Monsoon,No,25344.0,12685.7,0.0,38029.7,No,3.4,No
WON100840,2025-07-02,Kochi,Couple,2,Regular,Walk-in,None (Organic),0,Monsoon,No,1920.0,757.26,85.37,2762.63,No,4.2,No
WON100563,2025-07-02,Kochi,Family,4,Fast Track,Website,Offline/Hoarding,20,Monsoon,No,5632.0,1842.36,610.65,8085.01,Yes,2.6,No
WON102224,2025-07-02,Kochi,Solo,1,Regular,Travel Agent/OTA,Email Campaign,15,Monsoon,No,816.0,118.71,130.53,1065.24,No,3.2,No
WON102977,2025-07-02,Kochi,Couple,2,Fast Track,Walk-in,Social Media Ad,0,Monsoon,No,3520.0,490.62,389.74,4400.36,No,2.9,Yes
WON101743,2025-07-02,Kochi,Couple,2,Regular,Walk-in,None (Organic),0,Monsoon,No,1920.0,834.75,0.0,2754.75,No,4.1,No
WON101752,2025-07-02,Hyderabad,Couple,2,Regular,Website,Referral,10,Monsoon,No,1728.0,731.23,355.88,2815.11,Yes,1.2,No
WON101799,2025-07-02,Kochi,Friends Group,5,Regular,Travel Agent/OTA,None (Organic),0,Monsoon,No,4800.0,1006.68,381.9,6188.58,No,3.8,No
WON101264,2025-07-02,Hyderabad,Family,3,Regular,Website,Referral,20,Monsoon,No,2304.0,991.58,399.57,3695.15,No,2.2,Yes
WON100470,2025-07-02,Kochi,Family,5,Fast Track,Travel Agent/OTA,None (Organic),0,Monsoon,No,8800.0,2223.91,1241.43,12265.34,No,4.2,No
WON100456,2025-07-02,Hyderabad,School/College Group,42,Regular,Website,Social Media Ad,10,Monsoon,No,36288.0,10090.47,4334.36,50712.83,No,3.2,No
WON102682,2025-07-02,Bangalore,Corporate Group,47,Season Pass,Travel Agent/OTA,Email Campaign,20,Monsoon,No,135360.0,13835.45,4014.33,153209.78,Yes,3.0,No
WON102349,2025-07-02,Kochi,Family,3,Season Pass,Corporate Tie-up,Social Media Ad,20,Monsoon,No,8640.0,678.48,600.72,9919.2,Yes,3.9,No
WON100407,2025-07-02,Kochi,School/College Group,36,Combo (Park+Resort),Website,Offline/Hoarding,20,Monsoon,No,87552.0,13358.47,9966.9,110877.37,Yes,3.5,No
WON100945,2025-07-02,Kochi,Couple,2,Fast Track,Website,Social Media Ad,0,Monsoon,No,3520.0,817.91,561.12,4899.03,No,2.8,Yes
WON101886,2025-07-02,Bangalore,Family,5,Season Pass,Walk-in,None (Organic),0,Monsoon,No,18000.0,2307.01,194.52,20501.53,No,3.6,No
WON102818,2025-07-02,Bangalore,Family,3,Regular,Website,Social Media Ad,15,Monsoon,No,2448.0,1071.54,525.74,4045.28,No,3.3,No
WON102817,2025-07-02,Bangalore,Family,3,Combo (Park+Resort),Travel Agent/OTA,None (Organic),0,Monsoon,No,9120.0,1128.97,685.37,10934.34,No,4.2,No
WON102533,2025-07-02,Bangalore,Family,3,Regular,Mobile App,Referral,0,Monsoon,No,2880.0,1762.62,489.16,5131.78,No,3.2,No
WON100244,2025-07-02,Bangalore,Friends Group,6,Regular,Website,Social Media Ad,15,Monsoon,No,4896.0,723.85,955.79,6575.64,No,2.7,Yes
WON102528,2025-07-02,Kochi,School/College Group,48,Regular,Walk-in,Search/SEM,10,Monsoon,No,41472.0,15592.13,9751.35,66815.48,No,3.4,No
